Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3289.545508196647
ACCEGCATKHNRXUHW,1861.3445218547474
NKCE6GJ5XVJDXNNZ,11756.823162320226
NKCEB8BK3ZXDHDHM,9466.205081957094
TOPEFDXSAHRNPF94,5725.556712942453
ACCE558KZHEPZYMG,9502.886960835745
ACCEAZCVAMFHDPY7,5130.418049407602
NKCDYNY37JPBGBVM,2663.0417825083823
NKCEY8KWY33FCUYD,7445.30494927293
RNGE4YPTQYRECV9J,4458.720120338174
NKCE88AHBHJZREXH,3859.942094544579
CLTEJ5ZZGBP4JGGE,8112.338928937759
WATE3NWH5FZWAMDA,8171.526597083502
CAGE53FSFZVFPFHQ,1753.842781182846
PCSEAKVBFFPGCHNZ,3772.5493397782766
WATDFFH3KJYBTYGG,7083.706057248759
NKCDWHFQSCHHYZMP,2372.6383304829096
RNGEB2PG3Q5RKDW6,2779.188985548867
NKCE5UY9HHPZGGUZ,4425.403176563945
KTAEHETW3ZCMFMJR,4097.439586505499
BRAEBBYRVF9MHJHU,7938.06344298434
NKCEAX7HAQ2RJA3Q,10302.939027419528
CRTECN2RQZWBSP9W,5078.968102656296
WATDEWZ9UHSEHGZG,9526.33504033996
PTPEYW8HNV6G9YYR,2904.061306222092
ACCEAMGZRRYVAHDC,5058.651900405626
SRTEHHXG8MUXTGPA,6008.550023530655
SKIE4S4NN4MHYM3Z,4675.898643456225
HMBE7G34YHWPWKYN,7268.847404077855
LLIEGTMFJBD7ZZZM,13597.952341704255
ACCEJGH6JVTM4CBH,952.5804135037397
ACCDQDYBXJ9HZF37,10096.172815586331
RNGE88FRGZCXNKUG,562.0115552738408
NKCE7M3QNNPZDXHQ,10194.464936364398
VLBEGFFDP9H6WG2T,3457.9522309152107
TOPEAFG4YEQSH5TT,2383.5326990669882
WATEYAP3K2QQQWDH,5261.335666707288
PCSEBDFUFJWGARNX,10664.18309889589
SWTEGXQFZY95SKG7,4694.310143601886
BRAEGJFXSM9ZQ6SK,6741.067875973742
CAGE6FYKP34GA4GF,7417.7094332502775
HMBEJCMH78VJF3M8,4372.9859806524855
HIFEB7J3GSTVN5XJ,10622.753333294266
PBXE6ZHNGZREWWHR,4485.31022270539
PCSEAKVBNXFGZBKB,6563.603531698256
BRAEBBMQQNZ9RZWR,5848.317391288002
ACCEGKFCXHZZH44S,853.8078830304272
SHODXQRRGKZ74U9M,4373.678616229925
DREE2Y6DVEKVVQQS,4525.100131984662
PBXE8ZHHG5Y525BT,6915.071042578857
CTTEH9FXZHGFKUA3,8018.224225764725
ACCDXFZXGQTBTM6N,3629.060399127153
NKCE9PFF3TT4KSQJ,7884.957385013143
BRAE6NZAZK77HXZK,849.2768038945628
NKCE4TV42BHDP63U,3405.2443977809844
AIREDGGD9RJPZGYW,5672.926905497858
PCSEDAPMHR2HNHWP,8345.83860668308
PACE95FMAFXHZB5C,4515.294583964953
WATDG4KP445AV5XC,13591.620446974126
ACCE9EYRRNZYZUBG,496.45672315823697
ACCE8XZMAHNC8JVS,634.0751620023572
SHOED5DCSTQKZCGF,3641.7234078537886
NKCE64Z4NGBHNAY7,3512.7714676655323
PBXE8WQTZ5GA2YYQ,804.6966662111581
MUGEGZUMGYAPVSZH,4552.428353186748
PBXE4RB3Y3GXWPFV,745.0476740399878
PCSE2ZFDJJGFNHC7,641.9988571563724
CRTECN2QT5HKHZ8F,4785.743056865355
MUGEACY8Q7ZYSTN8,1589.8777823439295
ACCEGG9VGRMQGHRD,7082.553386124876
PCSE76X48PVSDDVK,965.4392629938428
PBXE6677X2D6UFZZ,5727.443178915199
WCKEGGGD2TXHHTJC,365.374723687989
NKCE7MMGF4PPGNA6,2857.029321443537
CRTECN2QYTPHK5YQ,4989.449517719545
OIDEJFCWMMR6JQBE,5595.463684453045
WATE5HFY4MJX6CHD,5306.26223259256
DREE4FC4TAR8M5GN,1486.2108401066357
HACEGPF9DZVUZBFY,8093.703450595758
PBXE4Q7YF5KUYJYW,11572.853737384969
SHIED9YEH65NSA8N,10483.75923496178
WATDHMQJ68MVBRFV,13295.046325923417
HMBEGWTFEV4TF2RH,3146.9478700361815
SHIE2FH7YTVDHFGT,3013.5171702798734
CRTECN2QYRY2KWZF,4240.802209324014
TSHEDJXPN4HNT2UP,6133.002019986972
SHOECZH5WGBZHZES,2529.461530360811
NKCEDCT9MSAYG6H5,5145.916641362401
SOCEGGVYBTZPKXVP,4776.362392682851
PBXECARAQBCDSAZW,3423.1245812030397
CAGDU85YDHP9ZJH7,2412.6910045395007
TCVEHSMFEGNCAGYN,4993.948084857004
RNGEDAPFZ2GKRUER,901.9979268868939
CAGDY9Q7HSNDHGFC,3620.4362999277087
NKCECKHYZVHBQU9F,466.5739290448941
NKCDQSVCRH8W73GF,6584.064076564332
WATD9H76RKGUUZHY,14211.67465227528
NKCE5HYVDQVATMKF,2084.1856567990185
RNGE9GWMKVHGEYZG,4247.732151522421
SHOEAGUMMWFABHUT,3370.2678140041753
SWDEGZMPYQGNEBHG,4790.424263949921
TOPEFDXSHZPHCUAU,9362.68003753458
CAGDU85Y85GDJGUD,1019.7574429292004
CAGE4BQXK3FSTRRS,3304.093070631233
CAGDZVGTV3SMMMBY,5228.258471307578
BEOEGXRVQPCKJHYC,3424.8161657339347
NKCE9YFBBYBM88DR,3271.948916501543
DREECZGZVWGQM23M,4236.989980124071
PBXECYF3YHWYG4UN,338.5860464293434
WATEBG8FGBPUPKCV,5068.616326465262
SHIEEJG9RRDUH9XG,3226.4145115971533
CRTECN2QXAPEWXSF,2689.556031805567
BRAEE6YMSYPNCUX3,1384.9174828922955
WATE9MVXJXHZHEJU,3330.7218484673813
RNGDREYRQQGZAPQM,5591.131085250099
